"name","lon","lat"
"Jurong East MRT Station",103.7422572,1.3332111
"Bukit Batok MRT Station",103.7495883,1.3490636
"Bukit Gombak MRT Station",103.7518278,1.3590369
"Choa Chu Kang MRT Station",103.7443409,1.3853617
"Yew Tee MRT Station",103.7475018,1.3973289
"Sungei Kadut MRT Station",103.7620278,1.4252268
"Kranji MRT Station",103.7620278,1.4252268
"Marsiling MRT Station",103.7740864,1.4325696
"Woodlands MRT Station",103.786555,1.436962
"Admiralty MRT Station",103.8009702,1.4405962
"Sembawang MRT Station",103.820049,1.44909
"Canberra MRT Station",103.829575,1.443283
"Yishun MRT Station",103.8350332,1.4295484
"Khatib MRT Station",103.8329731,1.4173483
"Yio Chu Kang MRT Station",103.844934,1.3817217
"Ang Mo Kio MRT Station",103.8495876,1.3699718
"Bishan MRT Station",103.8481737,1.3508449
"Braddell MRT Station",103.8470762,1.3405397
"Toa Payoh MRT Station",103.8474252,1.3323297
"Novena MRT Station",103.8433833,1.3200248
"Newton MRT Station",103.8380316,1.3137871
"Orchard MRT Station",103.8317905,1.3039987
"Somerset MRT Station",103.8384389,1.3004441
"Dhoby Ghaut MRT Station",103.8457886,1.2990936
"City Hall MRT Station",103.8520677,1.293076
"Raffles Place MRT Station",103.8513365,1.2830173
"Marina Bay MRT Station",103.8545978,1.2764274
"Marina South Pier MRT Station",103.8635915,1.2713894
"Pasir Ris MRT Station",103.9493534,1.3731912
"Tampines MRT Station",103.9432925,1.3544129
"Simei MRT Station",103.9533534,1.3431616
"Tanah Merah MRT Station",103.9464897,1.3272444
"Bedok MRT Station",103.9301725,1.3240113
"Kembangan MRT Station",103.9129039,1.3209998
"Eunos MRT Station",103.9028883,1.3197342
"Paya Lebar MRT Station",103.8931436,1.3181607
"Aljunied MRT Station",103.8828099,1.3164178
"Kallang MRT Station",103.8713507,1.3114784
"Lavender MRT Station",103.862848,1.3074261
"Bugis MRT Station",103.8558613,1.3006614
"City Hall MRT Station",103.8520677,1.293076
"Raffles Place MRT Station",103.8513365,1.2830173
"Tanjong Pagar MRT Station",103.8467924,1.2763419
"Outram Park MRT Station",103.8391803,1.2814265
"Tiong Bahru MRT Station",103.8269778,1.2865018
"Redhill MRT Station",103.8167982,1.2896415
"Queenstown MRT Station",103.8059204,1.2948218
"Commonwealth MRT Station",103.7983157,1.3023957
"Buona Vista MRT Station",103.7900463,1.3072937
"Dover MRT Station",103.7786068,1.3113926
"Clementi MRT Station",103.7653304,1.3148607
"Jurong East MRT Station",103.7422572,1.3332111
"Chinese Garden MRT Station",103.7325924,1.3424249
"Lakeside MRT Station",103.7207754,1.344243
"Boon Lay MRT Station",103.7058277,1.3385559
"Pioneer MRT Station",103.6974089,1.3376018
"Joo Koon MRT Station",103.6783209,1.3277353
"Gul Circle MRT Station",103.661473,1.3195079
"Tuas Crescent MRT Station",103.6490755,1.3210266
"Tuas West Road MRT Station",103.6396141,1.3299891
"Tuas Link MRT Station",103.6367189,1.3402502
"Expo MRT Station",103.9614807,1.3344041
"Changi Airport MRT Station",103.9884873,1.3576001
"HarbourFront MRT Station",103.8205139,1.2653889
"Outram Park MRT Station",103.8391803,1.2814265
"Chinatown MRT Station",103.8439312,1.2847875
"Clarke Quay MRT Station",103.8467181,1.2881554
"Dhoby Ghaut MRT Station",103.8457886,1.2990936
"Little India MRT Station",103.8494066,1.3066479
"Farrer Park MRT Station",103.807711,1.3175741
"Boon Keng MRT Station",103.861623,1.3200375
"Potong Pasir MRT Station",103.8687898,1.331273
"Woodleigh MRT Station",103.8707373,1.3391274
"Serangoon MRT Station",103.8736348,1.3497872
"Kovan MRT Station",103.8851627,1.360175
"Hougang MRT Station",103.8925439,1.3713312
"Buangkok MRT Station",103.8933582,1.3829481
"Sengkang MRT Station",103.8954533,1.3916609
"Punggol MRT Station",103.9023559,1.40517
"Punggol Coast MRT Station",103.9108975,1.4145723
"Dhoby Ghaut MRT Station",103.8457886,1.2990936
"Bras Basah MRT Station",103.8507366,1.2969461
"Esplanade MRT Station",103.8553744,1.2939413
"Promenade MRT Station",103.8601773,1.2939988
"Nicoll Highway MRT Station",103.8634707,1.3002063
"Stadium MRT Station",103.8754063,1.3027829
"Mountbatten MRT Station",103.8831531,1.3060844
"Dakota MRT Station",103.888814,1.30841
"Paya Lebar MRT Station",103.8931436,1.3181607
"MacPherson MRT Station",103.8898898,1.3267049
"Tai Seng MRT Station",103.8877164,1.3358756
"Bartley MRT Station",103.8796386,1.3428695
"Serangoon MRT Station",103.8736348,1.3497872
"Lorong Chuan MRT Station",103.8649467,1.3514978
"Bishan MRT Station",103.8481737,1.3508449
"Marymount MRT Station",103.8390947,1.3490142
"Caldecott MRT Station",103.8396058,1.3375953
"Bukit Brown MRT Station",103.832156,1.334042
"Botanic Gardens MRT Station",103.8149268,1.3223117
"Farrer Road MRT Station",103.807711,1.3175741
"Holland Village MRT Station",103.7961408,1.3111457
"Buona Vista MRT Station",103.7900463,1.3072937
"one-north MRT Station",103.7875947,1.2998113
"Kent Ridge MRT Station",103.7844513,1.2935861
"Haw Par Villa MRT Station",103.7819799,1.283106
"Pasir Panjang MRT Station",103.7919037,1.2760684
"Labrador Park MRT Station",103.8025575,1.2721259
"Telok Blangah MRT Station",103.809878,1.2707152
"HarbourFront MRT Station",103.8205139,1.2653889
"Keppel MRT Station",103.830207,1.2698451
"Cantonment MRT Station",103.8366377,1.2728034
"Prince Edward Road MRT Station",103.8467071,1.2731006
"Bayfront MRT Station",103.8589551,1.2813386
"Marina Bay MRT Station",103.8545978,1.2764274
"Sungei Kadut MRT Station",103.7620278,1.4252268
"Bukit Panjang MRT Station",103.7919037,1.2760684
"Cashew MRT Station",103.7645794,1.3699756
"Hillview MRT Station",103.7673821,1.3630566
"Beauty World MRT Station",103.7757466,1.3415532
"King Albert Park MRT Station",103.7831926,1.3356884
"Sixth Avenue MRT Station",103.7972016,1.3311776
"Tan Kah Kee MRT Station",103.8079556,1.3257996
"Botanic Gardens MRT Station",103.8149268,1.3223117
"Stevens MRT Station",103.8259427,1.3199584
"Newton MRT Station",103.8380316,1.3137871
"Little India MRT Station",103.8494066,1.3066479
"Rochor MRT Station",103.8525596,1.3035362
"Bugis MRT Station",103.8558613,1.3006614
"Promenade MRT Station",103.8601773,1.2939988
"Bayfront MRT Station",103.8589551,1.2813386
"Downtown MRT Station",103.8528128,1.2794576
"Telok Ayer MRT Station",103.8485947,1.282221
"Chinatown MRT Station",103.8439312,1.2847875
"Fort Canning MRT Station",103.8440806,1.2923475
"Bencoolen MRT Station",103.849973,1.2984553
"Jalan Besar MRT Station",103.8554325,1.3055083
"Bendemeer MRT Station",103.8630656,1.3136206
"Geylang Bahru MRT Station",103.8715658,1.3214854
"Mattar MRT Station",103.8833045,1.3268461
"MacPherson MRT Station",103.8898898,1.3267049
"Ubi MRT Station",103.8989327,1.3299231
"Kaki Bukit MRT Station",103.908965,1.3349196
"Bedok North MRT Station",103.9180455,1.3352441
"Bedok Reservoir MRT Station",103.9330916,1.3365418
"Tampines West MRT Station",103.9382436,1.345508
"Tampines MRT Station",103.9432925,1.3544129
"Tampines East MRT Station",103.9554664,1.35625
"Upper Changi MRT Station",103.9614569,1.3416323
"Expo MRT Station",103.9614807,1.3344041
"Xilin MRT Station",103.9656008,1.3305799
"Sungei Bedok MRT Station",103.9301725,1.3240113
"Woodlands North MRT Station",103.794421,1.4558458
"Woodlands MRT Station",103.786555,1.436962
"Woodlands South MRT Station",103.7938509,1.42726
"Springleaf MRT Station",103.8178916,1.3983871
"Lentor MRT Station",103.8368081,1.3843983
"Mayflower MRT Station",103.837026,1.3726456
"Bright Hill MRT Station",103.8332327,1.3631946
"Upper Thomson MRT Station",103.8338127,1.3539717
"Caldecott MRT Station",103.8396058,1.3375953
"Mount Pleasant MRT Station",103.8358239,1.3284225
"Stevens MRT Station",103.8259427,1.3199584
"Orchard Boulevard MRT Station",103.8324375,1.3024846
"Orchard MRT Station",103.8317905,1.3039987
"Great World MRT Station",103.8333537,1.2947526
"Havelock MRT Station",103.8335643,1.2880983
"Outram Park MRT Station",103.8391803,1.2814265
"Maxwell MRT Station",103.8439262,1.2802613
"Shenton Way MRT Station",103.8467071,1.2731006
